Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины
Компьютерное моделирование в астрофизике. Статистические методы обработки информации,Аннотация РПД,УКД,РПД
"Линии передачи и устройства СВЧ. Объектно-ориентированное программирование, базы данных",Аннотация РПД,УКД,РПД
Математический анализ,Аннотация РПД,УКД,РПД
Методы мат. физики,Аннотация РПД,УКД,РПД
Механика,Аннотация РПД,УКД,РПД
Молекулярная физика,Аннотация РПД,УКД,РПД
Общий физический практикум,Аннотация РПД,УКД,РПД
Операционные вычисления. Системы автоматизированного проектирования,Аннотация РПД,УКД,РПД
Оптика,Аннотация РПД,УКД,РПД
Оптоэлектроника. Когерентная оптоэлектроника.,Аннотация РПД,УКД,РПД
Основы интроскопии,Аннотация РПД,УКД,РПД
Основы программирования и визуализация данных на языке Python. Спецпрактикум и лаборатория специализации,Аннотация РПД,УКД,РПД
Полупроводниковая и физическая электроника. Твердотельная электроника,Аннотация РПД,УКД,РПД
Проблема N-тел в астрофизике,Аннотация РПД,УКД,РПД
Программирование. Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД
Проект 1,Аннотация РПД,УКД,РПД
Проект 2,Аннотация РПД,УКД,РПД
Проект 3,Аннотация РПД,УКД,РПД
Радиофизическая электроника,Аннотация РПД,УКД,РПД
"Радиофизический практикум (ОРЭ, ОЦС, АСУ, УИ СВЧ, КП, СП)",Аннотация РПД,УКД,РПД
Радиоэлектроника. Квантовая радиофизика,Аннотация РПД,УКД,РПД
Распространение электромагнитных волн,Аннотация РПД,УКД,РПД
Системы связи. Цифровые методы обработки случайных сигналов,Аннотация РПД,УКД,РПД
Статистическая радиофизика. Радиофизические измерения,Аннотация РПД,УКД,РПД
Статистические методы анализа экспериментальных данных,Аннотация РПД,УКД,РПД
Теоретическая механика. Механика сплошных сред,Аннотация РПД,УКД,РПД
Теоретическая механика. ТВМС.,Аннотация РПД,УКД,РПД
Теория групп в физике. Методы теории функционала плотности и молекулярной динамики,Аннотация РПД,УКД,РПД
Теория колебаний. Цифровая обработка сигналов,Аннотация РПД,УКД,РПД
Теория физических полей. Физика элементарных частиц,Аннотация РПД,УКД,РПД
Теория функций комплексного переменного. Дифференциальные уравнения,Аннотация РПД,УКД,РПД
Термодинамика и статистическая физика. Физика сплошных сред,Аннотация РПД,УКД,РПД
Термодинамика. Статистическая физика. Физическая кинетика,Аннотация РПД,УКД,РПД
Физика атома и атомных явлений. Физика ядра и частиц,Аннотация РПД,УКД,РПД
Физика волновых процессов. Электродинамика СВЧ,Аннотация РПД,УКД,РПД
Физика и техника СВЧ. Измерения на СВЧ,Аннотация РПД,УКД,РПД
Физика конденсированного состояния. Вычислительная физика,Аннотация РПД,УКД,РПД
"Физика космической плазмы, ядерный синтез.",Аннотация РПД,УКД,РПД
Физика магнитных явлений. Физика фазовых переходов,Аннотация РПД,УКД,РПД
Физика рентгеновских лучей,Аннотация РПД,УКД,РПД
Физика твёрдого тела,Аннотация РПД,УКД,РПД
Физическая культура и спорт,Аннотация РПД,УКД,РПД
Физический практикум,Аннотация РПД,УКД,РПД
Философия,Аннотация РПД,УКД,РПД
Функциональное программирование в задачах физики. Общая теория относительности,Аннотация РПД,УКД,РПД
"Численные методы и математическое моделирование. Архитектура ПК, сети ЭВМ",Аннотация РПД,УКД,РПД
Численные методы и методы математической физики,Аннотация РПД,УКД,РПД
Экология. Химия,Аннотация РПД,УКД,РПД
Экономика и право,Аннотация РПД,УКД,РПД
Электричество и магнетизм,Аннотация РПД,УКД,РПД
Электродинамика,Аннотация РПД,УКД,РПД
Элементарная математика. Векторный и тензорный анализ,Аннотация РПД,УКД,РПД
Элементы математики. Векторный и тензорный анализ. Математическое моделирование в радиофизике,Аннотация РПД,УКД,РПД
Академический курс иностранного языка,Аннотация РПД,УКД,РПД
Аналитическая геометрия и линейная алгебра,Аннотация РПД,УКД,РПД
Аналоговая схемотехника. Цифровая схемотехника,Аннотация РПД,УКД,РПД
Антенные системы. Радиоэлектронные системы.,Аннотация РПД,УКД,РПД
Астрофизика. Биофизика,Аннотация РПД,УКД,РПД
Астрофизика. Экология. Биофизика,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Введение в физику наноструктур и методы их исследования,Аннотация РПД,УКД,РПД
Волоконно оптическая связь. Плазменная электроника,Аннотация РПД,УКД,РПД
Государственный экзамен,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Интегральные уравнения и вариационное исчисление. Теория вероятности и математическая статистика,Аннотация РПД,УКД,РПД
"Информатика. Архитектура ПК, локальные вычислительные сети. Микропроцессорные системы",Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Квантовая механика,Аннотация РПД,УКД,РПД
Колебания и волны. Атомная и ядерная физика.,Аннотация РПД,УКД,РПД
Компьютерное моделирование в астрофизике. Статистические методы обработки информации,Аннотация РПД,УКД,РПД
"Линии передачи и устройства СВЧ. Объектно-ориентированное программирование, базы данных",Аннотация РПД,УКД,РПД
Математический анализ,Аннотация РПД,УКД,РПД
Методы мат. физики,Аннотация РПД,УКД,РПД
Механика,Аннотация РПД,УКД,РПД
Молекулярная физика,Аннотация РПД,УКД,РПД
Общий физический практикум,Аннотация РПД,УКД,РПД
Операционные вычисления. Системы автоматизированного проектирования,Аннотация РПД,УКД,РПД
Оптика,Аннотация РПД,УКД,РПД
Оптоэлектроника. Когерентная оптоэлектроника.,Аннотация РПД,УКД,РПД
Основы интроскопии,Аннотация РПД,УКД,РПД
Основы программирования и визуализация данных на языке Python. Спецпрактикум и лаборатория специализации,Аннотация РПД,УКД,РПД
Полупроводниковая и физическая электроника. Твердотельная электроника,Аннотация РПД,УКД,РПД
Проблема N-тел в астрофизике,Аннотация РПД,УКД,РПД
Программирование. Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД
Проект 1,Аннотация РПД,УКД,РПД
Проект 2,Аннотация РПД,УКД,РПД
Проект 3,Аннотация РПД,УКД,РПД
Радиофизическая электроника,Аннотация РПД,УКД,РПД
"Радиофизический практикум (ОРЭ, ОЦС, АСУ, УИ СВЧ, КП, СП)",Аннотация РПД,УКД,РПД
Радиоэлектроника. Квантовая радиофизика,Аннотация РПД,УКД,РПД
Распространение электромагнитных волн,Аннотация РПД,УКД,РПД
