Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины,ed_id
Высшая математика,Аннотация РПД,УКД,РПД,29.03.04
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,29.03.04
Живопись и цветоведение,Аннотация РПД,УКД,РПД,29.03.04
Иностранный язык,Аннотация РПД,УКД,РПД,29.03.04
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,29.03.04
Информационные технологии,Аннотация РПД,УКД,РПД,29.03.04
История искусств и дизайна,Аннотация РПД,УКД,РПД,29.03.04
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,29.03.04
Композиция,Аннотация РПД,УКД,РПД,29.03.04
Компьютерная графика,Аннотация РПД,УКД,РПД,29.03.04
Компьютерное моделирование,Аннотация РПД,УКД,РПД,29.03.04
Компьютерное проектирование (САПР),Аннотация РПД,УКД,РПД,29.03.04
Компьютерные технологии,Аннотация РПД,УКД,РПД,29.03.04
Литье в машиностроении,Аннотация РПД,УКД,РПД,29.03.04
Макетирование изделий,Аннотация РПД,УКД,РПД,29.03.04
Мастерство. Изготовление художественных изделий,Аннотация РПД,УКД,РПД,29.03.04
Механика и материаловедение,Аннотация РПД,УКД,РПД,29.03.04
Начертательная геометрия и инженерная графика,Аннотация РПД,УКД,РПД,29.03.04
Основы предпринимательской деятельности,Аннотация РПД,УКД,РПД,29.03.04
Педагогика и психология,Аннотация РПД,УКД,РПД,29.03.04
Пластическое моделирование художественных изделий,Аннотация РПД,УКД,РПД,29.03.04
Проект 1 курса,Аннотация РПД,УКД,РПД,29.03.04
Проект 2 курса,Аннотация РПД,УКД,РПД,29.03.04
Проект 3 курса,Аннотация РПД,УКД,РПД,29.03.04
Промышленный дизайн,Аннотация РПД,УКД,РПД,29.03.04
Реставрация художественных изделий,Аннотация РПД,УКД,РПД,29.03.04
Рисунок,Аннотация РПД,УКД,РПД,29.03.04
Технологии литья,Аннотация РПД,УКД,РПД,29.03.04
Технологии производства и оценки художественных изделий,Аннотация РПД,УКД,РПД,29.03.04
Технологии художественной обработки изделий,Аннотация РПД,УКД,РПД,29.03.04
Технологическое оборудование и оснастка,Аннотация РПД,УКД,РПД,29.03.04
Физика,Аннотация РПД,УКД,РПД,29.03.04
Физическая культура и спорт,Аннотация РПД,УКД,РПД,29.03.04
Философия,Аннотация РПД,УКД,РПД,29.03.04
Химия и экология,Аннотация РПД,УКД,РПД,29.03.04
Художественное материаловедение,Аннотация РПД,УКД,РПД,29.03.04
Экономика и право,Аннотация РПД,УКД,РПД,29.03.04
Gender psychology (Гендерная психология),Аннотация РПД,УКД,РПД,37.03.01
Motivation psychology (Психология мотивации),Аннотация РПД,УКД,РПД,37.03.01
"Адаптационная дисциплина ""Социальная адаптация и коммуникации в учебной и профессиональной деятельности""",Аннотация РПД,УКД,РПД,37.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,37.03.01
Анатомия и физиология центральной нервной системы,Аннотация РПД,УКД,РПД,37.03.01
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,37.03.01
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,37.03.01
Внимание и память и психологический практикум,Аннотация РПД,УКД,РПД,37.03.01
Гуманистическая психология: теория и практика,Аннотация РПД,УКД,РПД,37.03.01
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,37.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,37.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,37.03.01
Информационно-коммуникационные технологии в психологии,Аннотация РПД,УКД,РПД,37.03.01
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,37.03.01
История психологии,Аннотация РПД,УКД,РПД,37.03.01
Клиническая психология,Аннотация РПД,УКД,РПД,37.03.01
Курсовая работа,Аннотация РПД,УКД,РПД,37.03.01
Математические методы в психологии,Аннотация РПД,УКД,РПД,37.03.01
Мышление и речь и психологический практикум,Аннотация РПД,УКД,РПД,37.03.01
Нейропсихология и патопсихология,Аннотация РПД,УКД,РПД,37.03.01
Основы нейро-лингвистического программирования,Аннотация РПД,УКД,РПД,37.03.01
Основы нейрофизиологии и психофизиологии,Аннотация РПД,УКД,РПД,37.03.01
Основы психогенетики и дифференциальная психология,Аннотация РПД,УКД,РПД,37.03.01
Основы психокоррекции личности в транзактном анализе,Аннотация РПД,УКД,РПД,37.03.01
Основы психосоциальной помощи,Аннотация РПД,УКД,РПД,37.03.01
Основы социально-психологического тренинга,Аннотация РПД,УКД,РПД,37.03.01
Ощущение и восприятие и психологический практикум,Аннотация РПД,УКД,РПД,37.03.01
"Педагогика, педагогическая психология и методика преподавания психологии",Аннотация РПД,УКД,РПД,37.03.01
Проектная деятельность,Аннотация РПД,УКД,РПД,37.03.01
Профессиональное развитие личности и ее карьера,Аннотация РПД,УКД,РПД,37.03.01
Психодиагностика,Аннотация РПД,УКД,РПД,37.03.01
Психодрама и арт-терапия как методы работы с личностью,Аннотация РПД,УКД,РПД,37.03.01
Психологическое консультирование,Аннотация РПД,УКД,РПД,37.03.01
Психология безопасности,Аннотация РПД,УКД,РПД,37.03.01
Психология ведения переговоров,Аннотация РПД,УКД,РПД,37.03.01
Психология жизненного пути личности и трудных жизненных ситуаций,Аннотация РПД,УКД,РПД,37.03.01
Психология здоровья,Аннотация РПД,УКД,РПД,37.03.01
Психология личности,Аннотация РПД,УКД,РПД,37.03.01
Психология малых групп и команд,Аннотация РПД,УКД,РПД,37.03.01
Психология манипуляций,Аннотация РПД,УКД,РПД,37.03.01
Психология развития и специальная психология,Аннотация РПД,УКД,РПД,37.03.01
Психология семьи,Аннотация РПД,УКД,РПД,37.03.01
Психология стресса и совладающего поведения,Аннотация РПД,УКД,РПД,37.03.01
Психология труда,Аннотация РПД,УКД,РПД,37.03.01
Психология управления и основы бизнес- консультирования,Аннотация РПД,УКД,РПД,37.03.01
Социальная психология,Аннотация РПД,УКД,РПД,37.03.01
Танцевально-экспрессивный тренинг,Аннотация РПД,УКД,РПД,37.03.01
Теория и технология психосемантического воздействия,Аннотация РПД,УКД,РПД,37.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,37.03.01
Философия,Аннотация РПД,УКД,РПД,37.03.01
Эволюционное введение в психологию,Аннотация РПД,УКД,РПД,37.03.01
Экономика и право,Аннотация РПД,УКД,РПД,37.03.01
Эмоции и воля и психологический практикум,Аннотация РПД,УКД,РПД,37.03.01
Этические и социальные проблемы психологии,Аннотация РПД,УКД,РПД,37.03.01
Этническая психология и психология конфликта,Аннотация РПД,УКД,РПД,37.03.01
Юридическая психологии и СПЭ,Аннотация РПД,УКД,РПД,37.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,37.03.02
Антикризисное управление конфликтами,Аннотация РПД,УКД,РПД,37.03.02
Бизнес- и кадровый профайлинг в конфликторазрешении (СКФУ),Аннотация РПД,УКД,РПД,37.03.02
Бизнес-конфликтология,Аннотация РПД,УКД,РПД,37.03.02
Введение в конфликтологию,Аннотация РПД,УКД,РПД,37.03.02
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,37.03.02
Гендерные отношения в молодежной среде,Аннотация РПД,УКД,РПД,37.03.02
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,37.03.02
Иностранный язык,Аннотация РПД,УКД,РПД,37.03.02
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,37.03.02
Иностранный язык (турецкий),Аннотация РПД,УКД,РПД,37.03.02
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,37.03.02
История конфликтологии,Аннотация РПД,УКД,РПД,37.03.02
Коммуникативные техники в переговорном процессе,Аннотация РПД,УКД,РПД,37.03.02
Конфликт-менеджмент в государственной и муниципальной сферах,Аннотация РПД,УКД,РПД,37.03.02
Конфликт-менеджмент управленческих решений,Аннотация РПД,УКД,РПД,37.03.02
Конфликтология международных отношений,Аннотация РПД,УКД,РПД,37.03.02
Конфликты и социальное неравенство в здравоохранении,Аннотация РПД,УКД,РПД,37.03.02
Культурология,Аннотация РПД,УКД,РПД,37.03.02
Логика и теория аргументации,Аннотация РПД,УКД,РПД,37.03.02
Методика и техника конфликтологических исследований,Аннотация РПД,УКД,РПД,37.03.02
Методология исследования конфликта,Аннотация РПД,УКД,РПД,37.03.02
Моделирование геополитических процессов,Аннотация РПД,УКД,РПД,37.03.02
"Национальная, региональная безопасность",Аннотация РПД,УКД,РПД,37.03.02
Общая конфликтология,Аннотация РПД,УКД,РПД,37.03.02
Организационный конфликт-менеджмент,Аннотация РПД,УКД,РПД,37.03.02
Основы исследования вигилентных конфликтов,Аннотация РПД,УКД,РПД,37.03.02
Основы коучинга и психология конфликта,Аннотация РПД,УКД,РПД,37.03.02
Основы медиации и конфликтологическое консультирование,Аннотация РПД,УКД,РПД,37.03.02
Основы теории и практики ведения миротворчества,Аннотация РПД,УКД,РПД,37.03.02
Педагогическая конфликтология,Аннотация РПД,УКД,РПД,37.03.02
Подготовка и сдача государственного экзамена,Аннотация РПД,УКД,РПД,37.03.02
Политические переговоры,Аннотация РПД,УКД,РПД,37.03.02
Политология,Аннотация РПД,УКД,РПД,37.03.02
Проект 1 курса,Аннотация РПД,УКД,РПД,37.03.02
Проект 2 курса,Аннотация РПД,УКД,РПД,37.03.02
Проект 3 курса,Аннотация РПД,УКД,РПД,37.03.02
Психология безопасности,Аннотация РПД,УКД,РПД,37.03.02
Психология семьи и разрешение семейных конфликтов,Аннотация РПД,УКД,РПД,37.03.02
Региональная конфликтология,Аннотация РПД,УКД,РПД,37.03.02
Современные протестные движения,Аннотация РПД,УКД,РПД,37.03.02
Социальная психология,Аннотация РПД,УКД,РПД,37.03.02
Социология,Аннотация РПД,УКД,РПД,37.03.02
Социология конфликта,Аннотация РПД,УКД,РПД,37.03.02
Стратегии совладающего поведения в экстремальных ситуациях (СКФУ),Аннотация РПД,УКД,РПД,37.03.02
Террористические угрозы национальной безопасности на Юге России,Аннотация РПД,УКД,РПД,37.03.02
Технологии управления конфликтами,Аннотация РПД,УКД,РПД,37.03.02
Физическая культура и спорт,Аннотация РПД,УКД,РПД,37.03.02
Философия,Аннотация РПД,УКД,РПД,37.03.02
Экономика и право,Аннотация РПД,УКД,РПД,37.03.02
Этноконфликтология,Аннотация РПД,УКД,РПД,37.03.02
Этнология и этнопсихология,Аннотация РПД,УКД,РПД,37.03.02
Юридическая конфликтология,Аннотация РПД,УКД,РПД,37.03.02
Язык дипломатии,Аннотация РПД,УКД,РПД,37.03.02
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,38.03.01
Бухгалтерский учет и аудит,Аннотация РПД,УКД,РПД,38.03.01
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,38.03.01
Введение в цифровую экономику,Аннотация РПД,УКД,РПД,38.03.01
"Деловая игра ""Корпорация +""",Аннотация РПД,УКД,РПД,38.03.01
Инвестиции и анализ инвестиционных проектов,Аннотация РПД,УКД,РПД,38.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,38.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,38.03.01
Институциональная экономика,Аннотация РПД,УКД,РПД,38.03.01
Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД,38.03.01
Информационные технологии в экономике,Аннотация РПД,УКД,РПД,38.03.01
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,38.03.01
История экономики и экономических учений,Аннотация РПД,УКД,РПД,38.03.01
Комплексный анализ финансово-хозяйственной деятельности,Аннотация РПД,УКД,РПД,38.03.01
Корпоративные финансы,Аннотация РПД,УКД,РПД,38.03.01
Макроэкономика,Аннотация РПД,УКД,РПД,38.03.01
Маркетинг,Аннотация РПД,УКД,РПД,38.03.01
Математика,Аннотация РПД,УКД,РПД,38.03.01
Математическая статистика. Статистические методы и математическое моделирование,Аннотация РПД,УКД,РПД,38.03.01
Международные финансовые отношения в цифровой экономике,Аннотация РПД,УКД,РПД,38.03.01
Менеджмент,Аннотация РПД,УКД,РПД,38.03.01
Методологический семинар,Аннотация РПД,УКД,РПД,38.03.01
Методология экономической науки,Аннотация РПД,УКД,РПД,38.03.01
Микроэкономика,Аннотация РПД,УКД,РПД,38.03.01
Модуль проектной деятельности,Аннотация РПД,УКД,РПД,38.03.01
Облачные технологии в экономике,Аннотация РПД,УКД,РПД,38.03.01
Оценка стоимости бизнеса,Аннотация РПД,УКД,РПД,38.03.01
Правоведение,Аннотация РПД,УКД,РПД,38.03.01
Сквозные технологии цифровой экономики,Аннотация РПД,УКД,РПД,38.03.01
Современные методы оценки персонала,Аннотация РПД,УКД,РПД,38.03.01
Статистика,Аннотация РПД,УКД,РПД,38.03.01
Теория риска и моделирование рисковых ситуаций,Аннотация РПД,УКД,РПД,38.03.01
Управление персоналом,Аннотация РПД,УКД,РПД,38.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,38.03.01
Философия,Аннотация РПД,УКД,РПД,38.03.01
Финансовая безопасность в цифровой экономике,Аннотация РПД,УКД,РПД,38.03.01
Финансовый менеджмент,Аннотация РПД,УКД,РПД,38.03.01
Финансы и финансовые рынки,Аннотация РПД,УКД,РПД,38.03.01
Цифровая экономическая среда в организациях,Аннотация РПД,УКД,РПД,38.03.01
Цифровые финансовые технологии,Аннотация РПД,УКД,РПД,38.03.01
Экономика зарубежных стран,Аннотация РПД,УКД,РПД,38.03.01
Экономика труда и трудовых ресурсов,Аннотация РПД,УКД,РПД,38.03.01
Экономика фирмы и бизнес-планирование,Аннотация РПД,УКД,РПД,38.03.01
1С предприятие: зарплата и управление персоналом,Аннотация РПД,УКД,РПД,38.03.01
1С Решение оперативных задач,Аннотация РПД,УКД,РПД,38.03.01
Contemporary issues and trends in management (Современные проблемы и тренды в менеджменте),Аннотация РПД,УКД,РПД,38.03.02
Effective business communication (Эффективные бизнес коммуникации),Аннотация РПД,УКД,РПД,38.03.02
ESG-инвестиции,Аннотация РПД,УКД,РПД,38.03.02
HR-менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Introduction to Sustainability (Введение в устойчивое развитие),Аннотация РПД,УКД,РПД,38.03.02
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,38.03.02
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,38.03.02
Брэнд-менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Бухгалтерский учет и анализ,Аннотация РПД,УКД,РПД,38.03.02
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,38.03.02
Государственное и муниципальное управление,Аннотация РПД,УКД,РПД,38.03.02
Государственное регулирование бизнеса,Аннотация РПД,УКД,РПД,38.03.02
"Деловая игра ""Project Expert""",Аннотация РПД,УКД,РПД,38.03.02
"Деловая игра ""Майнд-менеджмент""",Аннотация РПД,УКД,РПД,38.03.02
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,38.03.02
Документационное обеспечение бизнеса,Аннотация РПД,УКД,РПД,38.03.02
Инновационный менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Иностранный язык,Аннотация РПД,УКД,РПД,38.03.02
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,38.03.02
Информационные технологии в менеджменте,Аннотация РПД,УКД,РПД,38.03.02
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,38.03.02
Курсовая работа,Аннотация РПД,УКД,РПД,38.03.02
Логистика,Аннотация РПД,УКД,РПД,38.03.02
Маркетинг,Аннотация РПД,УКД,РПД,38.03.02
Математика,Аннотация РПД,УКД,РПД,38.03.02
Международный менеджмент,Аннотация РПД,УКД,РПД,38.03.02
"Методы принятия управленческих решений, исследование систем управления",Аннотация РПД,УКД,РПД,38.03.02
Омницифровой маркетинг,Аннотация РПД,УКД,РПД,38.03.02
Организационное поведение,Аннотация РПД,УКД,РПД,38.03.02
Основы менеджмента,Аннотация РПД,УКД,РПД,38.03.02
Оценка бизнеса и антикризисное управление,Аннотация РПД,УКД,РПД,38.03.02
Подготовка к сдаче и сдача государственного экзамена,Аннотация РПД,УКД,РПД,38.03.02
Правовое регулирование бизнеса,Аннотация РПД,УКД,РПД,38.03.02
Предпринимательство и создание бизнеса,Аннотация РПД,УКД,РПД,38.03.02
Проектный менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Производственный менеджмент и менеджмент качества,Аннотация РПД,УКД,РПД,38.03.02
Риск-менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Русский язык и культура речи,Аннотация РПД,УКД,РПД,38.03.02
Статистика и экономическое моделирование,Аннотация РПД,УКД,РПД,38.03.02
Стратегический менеджмент,Аннотация РПД,УКД,РПД,38.03.02
Управление интеллектуальной собственностью,Аннотация РПД,УКД,РПД,38.03.02
Управление личной эффективностью,Аннотация РПД,УКД,РПД,38.03.02
Управление продажами и клиентоориентированный сервис,Аннотация РПД,УКД,РПД,38.03.02
Физическая культура и спорт,Аннотация РПД,УКД,РПД,38.03.02
Философия,Аннотация РПД,УКД,РПД,38.03.02
Финансовое консультирование,Аннотация РПД,УКД,РПД,38.03.02
Финансовый бизнес,Аннотация РПД,УКД,РПД,38.03.02
Финансовый менеджмент,Аннотация РПД,УКД,РПД,38.03.02
"Экологическое, социальное и корпоративное (ESG) управление",Аннотация РПД,УКД,РПД,38.03.02
Экономика,Аннотация РПД,УКД,РПД,38.03.02
Экономика предприятия,Аннотация РПД,УКД,РПД,38.03.02
Этика бизнеса и деловые коммуникации,Аннотация РПД,УКД,РПД,38.03.02
Decision making (Принятие решений),Аннотация РПД,УКД,РПД,38.03.03
Ассессмент персонала,Аннотация РПД,УКД,РПД,38.03.03
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,38.03.03
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,38.03.03
Демография,Аннотация РПД,УКД,РПД,38.03.03
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,38.03.03
Иностранный язык,Аннотация РПД,УКД,РПД,38.03.03
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,38.03.03
Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД,38.03.03
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,38.03.03
Конфликтология,Аннотация РПД,УКД,РПД,38.03.03
Кросс-культурный менеджмент,Аннотация РПД,УКД,РПД,38.03.03
Макроэкономика,Аннотация РПД,УКД,РПД,38.03.03
Маркетинг персонала,Аннотация РПД,УКД,РПД,38.03.03
Математика,Аннотация РПД,УКД,РПД,38.03.03
Менеджмент знаний,Аннотация РПД,УКД,РПД,38.03.03
Микроэкономика,Аннотация РПД,УКД,РПД,38.03.03
Модуль проектной деятельности,Аннотация РПД,УКД,РПД,38.03.03
Нейросетевые технологии в управлении персоналом,Аннотация РПД,УКД,РПД,38.03.03
Организационное поведение,Аннотация РПД,УКД,РПД,38.03.03
Основы поведенческой экономики,Аннотация РПД,УКД,РПД,38.03.03
Основы современной аналитики персонала,Аннотация РПД,УКД,РПД,38.03.03
Основы трудового законодательства,Аннотация РПД,УКД,РПД,38.03.03
Основы экономики труда,Аннотация РПД,УКД,РПД,38.03.03
Персональный менеджмент,Аннотация РПД,УКД,РПД,38.03.03
Подготовка к сдаче и сдача государственного экзамена,Аннотация РПД,УКД,РПД,38.03.03
Правоведение,Аннотация РПД,УКД,РПД,38.03.03
Принятие решений,Аннотация РПД,УКД,РПД,38.03.03
Рекрутмент персонала,Аннотация РПД,УКД,РПД,38.03.03
Современные методы исследования в управлении персоналом,Аннотация РПД,УКД,РПД,38.03.03
Статистика,Аннотация РПД,УКД,РПД,38.03.03
Стратегия управления персоналом: базовый уровень,Аннотация РПД,УКД,РПД,38.03.03
Талант-менеджмент,Аннотация РПД,УКД,РПД,38.03.03
Теория и история менеджмента,Аннотация РПД,УКД,РПД,38.03.03
Теория игр: технология стратегического мышления,Аннотация РПД,УКД,РПД,38.03.03
Управление благополучием персонала,Аннотация РПД,УКД,РПД,38.03.03
Управление изменениями,Аннотация РПД,УКД,РПД,38.03.03
Управление компенсациями и льготами: базовый уровень,Аннотация РПД,УКД,РПД,38.03.03
Управление личными финансами,Аннотация РПД,УКД,РПД,38.03.03
Управление персоналом организации,Аннотация РПД,УКД,РПД,38.03.03
Управление производительностью труда,Аннотация РПД,УКД,РПД,38.03.03
Физическая культура и спорт,Аннотация РПД,УКД,РПД,38.03.03
Философия,Аннотация РПД,УКД,РПД,38.03.03
Цифровые технологии в HR,Аннотация РПД,УКД,РПД,38.03.03
Эконометрика,Аннотация РПД,УКД,РПД,38.03.03
1С предприятие: зарплата и управление персоналом,Аннотация РПД,УКД,РПД,38.03.03
Smart city technologies (Технологии умного города),Аннотация РПД,УКД,РПД,38.03.04
Анализ инвестиционных проектов и программ,Аннотация РПД,УКД,РПД,38.03.04
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,38.03.04
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,38.03.04
Государственная и муниципальная служба,Аннотация РПД,УКД,РПД,38.03.04
Государственная политика в сфере противодействия коррупции,Аннотация РПД,УКД,РПД,38.03.04
Государственные и муниципальные финансы,Аннотация РПД,УКД,РПД,38.03.04
Демография,Аннотация РПД,УКД,РПД,38.03.04
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,38.03.04
Документационное обеспечение государственного и муниципального управления,Аннотация РПД,УКД,РПД,38.03.04
Инвестиционная политика муниципального образования,Аннотация РПД,УКД,РПД,38.03.04
Иностранный язык,Аннотация РПД,УКД,РПД,38.03.04
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,38.03.04
Информационно-коммуникационные технологии,Аннотация РПД,УКД,РПД,38.03.04
Информационные технологии в государственном и муниципальном управлении,Аннотация РПД,УКД,РПД,38.03.04
Исследование социально-экономических и политических процессов,Аннотация РПД,УКД,РПД,38.03.04
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,38.03.04
Конституционное право,Аннотация РПД,УКД,РПД,38.03.04
Маркетинг территорий,Аннотация РПД,УКД,РПД,38.03.04
Математика,Аннотация РПД,УКД,РПД,38.03.04
Математические модели и методы в управлении,Аннотация РПД,УКД,РПД,38.03.04
Междисциплинарный проект 1,Аннотация РПД,УКД,РПД,38.03.04
Междисциплинарный проект 2,Аннотация РПД,УКД,РПД,38.03.04
Междисциплинарный проект 3,Аннотация РПД,УКД,РПД,38.03.04
Методы принятия решений,Аннотация РПД,УКД,РПД,38.03.04
Муниципальное право,Аннотация РПД,УКД,РПД,38.03.04
Налоговая политика государства,Аннотация РПД,УКД,РПД,38.03.04
Организация малого предпринимательства в муниципальном образовании,Аннотация РПД,УКД,РПД,38.03.04
Политология,Аннотация РПД,УКД,РПД,38.03.04
Правовые основы государственного и муниципального управления,Аннотация РПД,УКД,РПД,38.03.04
Проектное управление в органах власти,Аннотация РПД,УКД,РПД,38.03.04
Региональное управление и территориальное планирование,Аннотация РПД,УКД,РПД,38.03.04
Русский язык в сфере профессиональной коммуникации,Аннотация РПД,УКД,РПД,38.03.04
Система государственного и муниципального управления,Аннотация РПД,УКД,РПД,38.03.04
Сравнительная политика,Аннотация РПД,УКД,РПД,38.03.04
Теория организации,Аннотация РПД,УКД,РПД,38.03.04
Территориальное планирование,Аннотация РПД,УКД,РПД,38.03.04
Управление государственным и муниципальным имуществом,Аннотация РПД,УКД,РПД,38.03.04
Управление государственными и муниципальными закупками,Аннотация РПД,УКД,РПД,38.03.04
Управление земельными ресурсами,Аннотация РПД,УКД,РПД,38.03.04
Управление социально-экономическим развитием муниципального образования,Аннотация РПД,УКД,РПД,38.03.04
Физическая культура и спорт,Аннотация РПД,УКД,РПД,38.03.04
Философия,Аннотация РПД,УКД,РПД,38.03.04
Экономика,Аннотация РПД,УКД,РПД,38.03.04
Экономика муниципального сектора,Аннотация РПД,УКД,РПД,38.03.04
Экономическая и социальная статистика,Аннотация РПД,УКД,РПД,38.03.04
Business writing and e-mailing (Деловая переписка),Аннотация РПД,УКД,РПД,38.03.05
Creative leadership (Креативное лидерство),Аннотация РПД,УКД,РПД,38.03.05
Digital-маркетинг,Аннотация РПД,УКД,РПД,38.03.05
Innovation management (Инновационный менеджмент),Аннотация РПД,УКД,РПД,38.03.05
Web-дизайн. Web-программирование,Аннотация РПД,УКД,РПД,38.03.05
Архитектура предприятия. IT-инфраструктура предприятия,Аннотация РПД,УКД,РПД,38.03.05
Базы данных и системы управления базами данных,Аннотация РПД,УКД,РПД,38.03.05
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,38.03.05
Бухгалтерский учет и финансовый анализ,Аннотация РПД,УКД,РПД,38.03.05
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,38.03.05
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,38.03.05
Иностранный язык,Аннотация РПД,УКД,РПД,38.03.05
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,38.03.05
Интернет-предпринимательство,Аннотация РПД,УКД,РПД,38.03.05
информационные технологии в управлении,Аннотация РПД,УКД,РПД,38.03.05
Информационный менеджмент,Аннотация РПД,УКД,РПД,38.03.05
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,38.03.05
Компьютерная графика,Аннотация РПД,УКД,РПД,38.03.05
Корпоративные информационные системы,Аннотация РПД,УКД,РПД,38.03.05
Логика,Аннотация РПД,УКД,РПД,38.03.05
Логистика,Аннотация РПД,УКД,РПД,38.03.05
Маркетинговые коммуникации,Аннотация РПД,УКД,РПД,38.03.05
Математика,Аннотация РПД,УКД,РПД,38.03.05
Междисциплинарный проект 1,Аннотация РПД,УКД,РПД,38.03.05
Междисциплинарный проект 2,Аннотация РПД,УКД,РПД,38.03.05
Междисциплинарный проект 3,Аннотация РПД,УКД,РПД,38.03.05
Менеджмент,Аннотация РПД,УКД,РПД,38.03.05
Моделирование бизнес-процессов,Аннотация РПД,УКД,РПД,38.03.05
Мультимедиа и графика в электронном бизнесе,Аннотация РПД,УКД,РПД,38.03.05
Объектно-ориентированное программирование,Аннотация РПД,УКД,РПД,38.03.05
Основы информационно-коммуникационных технологий,Аннотация РПД,УКД,РПД,38.03.05
Основы маркетинга и маркетинговые исследования,Аннотация РПД,УКД,РПД,38.03.05
Основы предпринимательства и бизнес-планирование,Аннотация РПД,УКД,РПД,38.03.05
Право интеллектуальной собственности,Аннотация РПД,УКД,РПД,38.03.05
Правовое регулирование маркетинговой деятельности,Аннотация РПД,УКД,РПД,38.03.05
Правовое регулирование профессиональной деятельности,Аннотация РПД,УКД,РПД,38.03.05
Статистика,Аннотация РПД,УКД,РПД,38.03.05
Стратегический менеджмент. Инновационный менеджмент,Аннотация РПД,УКД,РПД,38.03.05
Управление IT-сервисами и контентом,Аннотация РПД,УКД,РПД,38.03.05
Управление маркетингом,Аннотация РПД,УКД,РПД,38.03.05
Управление проектами,Аннотация РПД,УКД,РПД,38.03.05
Физическая культура и спорт,Аннотация РПД,УКД,РПД,38.03.05
Философия,Аннотация РПД,УКД,РПД,38.03.05
Финансовый менеджмент,Аннотация РПД,УКД,РПД,38.03.05
Экономика,Аннотация РПД,УКД,РПД,38.03.05
Экономика организации,Аннотация РПД,УКД,РПД,38.03.05
Экономико-математические модели и методы. Анализ данных,Аннотация РПД,УКД,РПД,38.03.05
Электронная коммерция,Аннотация РПД,УКД,РПД,38.03.05
Accounting and Economic Analysis (Управленческий учет и экономический анализ),Аннотация РПД,УКД,РПД,38.03.06
Assortment and Quality Management (Управление ассортиментом и качеством товаров),Аннотация РПД,УКД,РПД,38.03.06
Business Economics (Экономика коммерческого предприятия),Аннотация РПД,УКД,РПД,38.03.06
Business Opportunities and Risks in a Globalized Economy (Возможности и риски для бизнеса в условиях глобализации экономики),Аннотация РПД,УКД,РПД,38.03.06
